,Date,Corona cases,Steam users
152,2020-06-03,6378010,20758300.0
153,2020-06-04,6503111,20940855.0
154,2020-06-05,6630144,21367788.0
155,2020-06-06,6757568,20832686.0
156,2020-06-07,6890484,20929285.0
157,2020-06-08,7016069,20722048.0
158,2020-06-09,7125561,20633794.0
159,2020-06-10,7236158,20391841.0
160,2020-06-11,7368268,20378618.0
161,2020-06-12,7509377,20418635.0
162,2020-06-13,7652106,20187324.0
163,2020-06-14,7796973,20601736.0
164,2020-06-15,7928712,20324234.0
165,2020-06-16,8046590,20328978.0
166,2020-06-17,8172637,20385298.0
167,2020-06-18,8354715,20237059.0
168,2020-06-19,8502597,20405602.0
169,2020-06-20,8648073,20390918.0
170,2020-06-21,8829771,20494759.0
171,2020-06-22,8984411,20360528.0
172,2020-06-23,9114663,20064649.0
173,2020-06-24,9255938,20201973.0
174,2020-06-25,9430009,20134793.0
175,2020-06-26,9608998,20710386.0
176,2020-06-27,9795915,20505822.0
177,2020-06-28,9990920,20679106.0
178,2020-06-29,10169648,20998243.0
179,2020-06-30,10327447,20869160.0
180,2020-07-01,10499640,20679641.0
181,2020-07-02,10685203,20651180.0
182,2020-07-03,10897156,20823541.0
183,2020-07-04,11111226,20551890.0
184,2020-07-05,11326241,20846287.0
185,2020-07-06,11517863,20604502.0
186,2020-07-07,11686115,20640209.0
187,2020-07-08,11863667,20651129.0
188,2020-07-09,12079582,20512767.0
189,2020-07-10,12306629,20003047.0
190,2020-07-11,12530303,20096407.0
191,2020-07-12,12765049,20107334.0
192,2020-07-13,12985320,19946212.0
193,2020-07-14,13180481,20085295.0
194,2020-07-15,13375163,19805183.0
195,2020-07-16,13609178,19297112.0
196,2020-07-17,13855496,19414535.0
197,2020-07-18,14103556,19267659.0
198,2020-07-19,14351717,19608831.0
199,2020-07-20,14583752,19335030.0
200,2020-07-21,14790680,19283030.0
201,2020-07-22,15002750,19456500.0
202,2020-07-23,15254437,19283879.0
203,2020-07-24,15546282,19412618.0
204,2020-07-25,15831043,19199487.0
205,2020-07-26,16106608,19645539.0
206,2020-07-27,16361000,19339920.0
207,2020-07-28,16578539,19283654.0
208,2020-07-29,16809489,19044095.0
209,2020-07-30,17073229,19020489.0
210,2020-07-31,17375756,18938054.0
211,2020-08-01,17667502,18994373.0
212,2020-08-02,17954292,19541066.0
213,2020-08-03,18212392,19458062.0
214,2020-08-04,18438794,19650004.0
215,2020-08-05,18661028,19308738.0
216,2020-08-06,18936081,19361847.0
217,2020-08-07,19229019,19411452.0
218,2020-08-08,19512194,19212662.0
219,2020-08-09,19802583,19646841.0
220,2020-08-10,20066393,19659149.0
221,2020-08-11,20290037,19654345.0
222,2020-08-12,20523318,19549026.0
223,2020-08-13,20819480,19541781.0
224,2020-08-14,21111620,19588307.0
225,2020-08-15,21409445,19410400.0
226,2020-08-16,21697389,19887276.0
227,2020-08-17,21952371,19861333.0
228,2020-08-18,22177076,19921982.0
229,2020-08-19,22414086,20124692.0
230,2020-08-20,22697827,20005722.0
231,2020-08-21,22986161,20153417.0
232,2020-08-22,23265385,20157937.0
233,2020-08-23,23529244,20573932.0
234,2020-08-24,23791859,20477180.0
235,2020-08-25,24018822,20482008.0
236,2020-08-26,24254653,20669434.0
237,2020-08-27,24544918,20648650.0
238,2020-08-28,24836397,20873904.0
239,2020-08-29,25122091,20648565.0
240,2020-08-30,25410808,20554231.0
241,2020-08-31,25687580,20626236.0
242,2020-09-01,25916849,20448526.0
243,2020-09-02,26193565,20447348.0
244,2020-09-03,26486228,20294409.0
245,2020-09-04,26785003,20641086.0
246,2020-09-05,27081352,21029949.0
247,2020-09-06,27400225,21285565.0
248,2020-09-07,27672134,20448251.0
249,2020-09-08,27910115,20825585.0
250,2020-09-09,28156625,20660084.0
251,2020-09-10,28432292,20411183.0
252,2020-09-11,28735129,20882976.0
253,2020-09-12,29040003,21007642.0
254,2020-09-13,29360322,21111615.0
255,2020-09-14,29652542,20575459.0
256,2020-09-15,29909967,20513366.0
257,2020-09-16,30186016,20585157.0
258,2020-09-17,30500121,20755390.0
259,2020-09-18,30820835,21255139.0
260,2020-09-19,31132770,21402247.0
261,2020-09-20,31462548,21449219.0
262,2020-09-21,31757433,20992159.0
263,2020-09-22,32011744,21007341.0
264,2020-09-23,32294163,21147701.0
265,2020-09-24,32620268,21028484.0
266,2020-09-25,32936604,21794949.0
267,2020-09-26,33248518,21750655.0
